method	uri	name	middleware
GET|HEAD	admin/dashboard	admin.dashboard	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:dashboard.view
GET|HEAD	admin/documents/products/{product}/label	admin.documents.products.label	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:documents.products.labels
GET|HEAD	admin/documents/sales/{sale}/a4	admin.documents.sales.a4	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:documents.sales.print,App\Http\Middleware\EnsureSaleVisibility
GET|HEAD	admin/documents/sales/{sale}/pdf	admin.documents.sales.pdf	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:documents.sales.print,App\Http\Middleware\EnsureSaleVisibility
GET|HEAD	admin/documents/sales/{sale}/thermal	admin.documents.sales.thermal	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:documents.sales.print,App\Http\Middleware\EnsureSaleVisibility
GET|HEAD	admin/exports/audit	admin.exports.audit	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:activity.export
GET|HEAD	admin/exports/purchases/{order}	admin.exports.purchases	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:exports.procurement
GET|HEAD	admin/exports/sales/{sale}	admin.exports.sales	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:exports.sales,App\Http\Middleware\EnsureSaleVisibility
GET|HEAD	admin/exports/stock/{movement}	admin.exports.stock	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:exports.inventory
GET|HEAD	admin/governance/changes	admin.governance.changes.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:settings.business.manage
POST	admin/governance/changes	admin.governance.changes.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:settings.business.manage
POST	admin/governance/changes/{change}/decide	admin.governance.changes.decide	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:settings.business.manage
GET|HEAD	admin/hr	admin.hr.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:staff.view
POST	admin/hr/employees	admin.hr.employees.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:staff.create
POST	admin/hr/employees/{employee}/assign	admin.hr.employees.assign	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:staff.create
POST	admin/hr/employees/{employee}/attendance	admin.hr.employees.attendance	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:staff.create
POST	admin/hr/employees/{employee}/reviews	admin.hr.employees.reviews	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:reports.staff-performance
POST	admin/hr/holidays	admin.hr.holidays.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:staff.create
POST	admin/hr/payroll	admin.hr.payroll.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:settings.business.manage
GET|HEAD	admin/imports/products	admin.imports.products.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:products.import-history
POST	admin/imports/products	admin.imports.products.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:products.import
GET|HEAD	admin/imports/products/template	admin.imports.products.template	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:products.import
GET|HEAD	admin/imports/products/{import}	admin.imports.products.show	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:products.import-history
GET|HEAD	admin/imports/products/{import}/errors	admin.imports.products.errors	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:products.import-history
POST	admin/imports/products/{import}/process	admin.imports.products.process	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:products.import
GET|HEAD	admin/insights	admin.insights.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:insights.view
POST	admin/insights/generate	admin.insights.generate	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:insights.generate
PATCH	admin/insights/{insight}/dismiss	admin.insights.dismiss	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:insights.dismiss
GET|HEAD	admin/inventory	admin.inventory.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:inventory.view
